DOCUMENT STATISTICS
Filename,rfc8446.txt
Text Length (chars),346699
Analyzed At,2026-05-08T23:34:20.731158
Total Segments,3714
  Normative,537
  Informative,2070
  Unknown,1107
High Confidence Segments (≥0.7),725
Medium Confidence Segments,2989
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,49
Average Profile Confidence,70.4%

TERMINOLOGY
Defined Terms,2
Undefined Terms,48
Definition Coverage,4.0%

CONTRADICTIONS
Total Detected,899

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,MUST send these messages in alignment with a record boundary.,field is deprecated and MUST be ignored for all purposes.
186,semantic,93.3%,"present, then the parameters in the signature MUST be identical to",offering these values MUST list them as the lowest priority
187,semantic,93.1%,-  A client sending a ClientHello MUST support all parameters,"compliant TLS client (to the original server), including verifying
the original server's certificate.  In particular, it MUST
generate its own ClientHello containing only parameters it
understands, and it MUST generate a fresh ServerHello random"
188,semantic,93.0%,support TLS 1.3 will send a normal TLS 1.3 ClientHello containing,A client that attempts to send 0-RTT data MUST fail a connection if
189,semantic,93.0%,to cause the receiver to accept a record which it has already,"(which processes the data immediately) and another cluster which will
fall back to 1-RTT and process the data upon application-layer"
190,semantic,92.8%,"TLS 1.3, the client MUST abort the handshake with an","ClientHello).  When sending the new ClientHello, the client MUST copy"
191,semantic,92.8%,"Upon receiving a message with type server_hello, implementations MUST
first examine the Random value and, if it matches this value, process","below.  If a match is found, the client MUST abort the handshake with"
192,semantic,92.1%,"Upon receipt of a HelloRetryRequest, the client MUST check the","""supported_versions"" extension MUST be retained in the ServerHello,
and a client MUST abort the handshake with an ""illegal_parameter"""
193,semantic,91.9%,"receiving such an extension, an endpoint MUST abort the handshake","versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include"
194,semantic,91.6%,cipher suite that was not offered MUST abort the handshake with an,and which receives a TLS 1.3 ServerHello during renegotiation MUST
195,semantic,91.3%,"TLS 1.x versions in this field, but its value MUST always be ignored.","change_cipher_spec at any time during the handshake, as they must be"
196,modality,90.0%,to this document.  Code Components extracted from this document must,"The key words ""MUST"", ""MUST NOT"", ""REQUIRED"", ""SHALL"", ""SHALL NOT"","
197,modality,90.0%,"The key words ""MUST"", ""MUST NOT"", ""REQUIRED"", ""SHALL"", ""SHALL NOT"",","the server's ephemeral Diffie-Hellman share; the server's share MUST
be in the same group as one of the client's shares.  If PSK key"
198,modality,90.0%,"The key words ""MUST"", ""MUST NOT"", ""REQUIRED"", ""SHALL"", ""SHALL NOT"",",Application Data MUST NOT be sent prior to sending the Finished
199,modality,90.0%,"The key words ""MUST"", ""MUST NOT"", ""REQUIRED"", ""SHALL"", ""SHALL NOT"",","common cryptographic parameters can be negotiated, the server MUST
abort the handshake with an appropriate alert."
200,modality,90.0%,"the server's ephemeral Diffie-Hellman share; the server's share MUST
be in the same group as one of the client's shares.  If PSK key",Application Data MUST NOT be sent prior to sending the Finished
201,modality,90.0%,Application Data MUST NOT be sent prior to sending the Finished,"common cryptographic parameters can be negotiated, the server MUST
abort the handshake with an appropriate alert."
202,modality,90.0%,Application Data MUST NOT be sent prior to sending the Finished,hash algorithm to be used with the PSK MUST also be provisioned.
203,modality,90.0%,"it MUST abort the handshake with either a ""handshake_failure"" or","TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3."
204,modality,90.0%,"HelloRetryRequest.  In that case, the client MUST send the same","TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3."
205,modality,90.0%,"TLS 1.3 and receives a ClientHello at any other time, it MUST
terminate the connection with an ""unexpected_message"" alert.","TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3."
206,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.","legacy_version field MUST be set to 0x0303, which is the version"
207,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.","this field MUST be non-empty, so a client not offering a
pre-TLS 1.3 session MUST generate a new 32-byte value.  This value"
208,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.","ossification).  Otherwise, it MUST be set as a zero-length vector"
209,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.","does not recognize, support, or wish to use, the server MUST
ignore those cipher suites and process the remaining ones as"
210,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.","MUST contain exactly one byte, set to zero, which corresponds to"
211,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.","field, the server MUST abort the handshake with an"
212,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.","receive TLS 1.2 or prior ClientHellos which contain other
compression methods and (if negotiating such a prior version) MUST
follow the procedures for the appropriate prior version of TLS."
213,modality,90.0%,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3.",versions of TLS.  Servers MUST ignore unrecognized extensions.
214,modality,90.0%,"extensions:  A list of extensions.  The ServerHello MUST only include
extensions which are required to establish the cryptographic","with the ServerHello, a HelloRetryRequest MUST NOT contain any"
215,modality,90.0%,"Upon receiving a message with type server_hello, implementations MUST
first examine the Random value and, if it matches this value, process","with the ServerHello, a HelloRetryRequest MUST NOT contain any"
216,modality,90.0%,response to a ClientHello MUST set the last 8 bytes of their Random,"with the ServerHello, a HelloRetryRequest MUST NOT contain any"
217,modality,90.0%,"If negotiating TLS 1.2, TLS 1.3 servers MUST set the last 8 bytes of","with the ServerHello, a HelloRetryRequest MUST NOT contain any"
218,modality,90.0%,"If negotiating TLS 1.1 or below, TLS 1.3 servers MUST, and TLS 1.2","with the ServerHello, a HelloRetryRequest MUST NOT contain any"
219,modality,90.0%,MUST check that the last 8 bytes are not equal to either of these,"with the ServerHello, a HelloRetryRequest MUST NOT contain any"
220,modality,90.0%,"below.  If a match is found, the client MUST abort the handshake with","with the ServerHello, a HelloRetryRequest MUST NOT contain any"
221,modality,90.0%,and which receives a TLS 1.3 ServerHello during renegotiation MUST,"with the ServerHello, a HelloRetryRequest MUST NOT contain any"
222,modality,90.0%,and which receives a TLS 1.3 ServerHello during renegotiation MUST,Implementations MUST NOT send extension responses if the remote
223,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","Upon receipt of a HelloRetryRequest, the client MUST check the"
224,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an"
225,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","was itself in response to a HelloRetryRequest), it MUST abort the
handshake with an ""unexpected_message"" alert."
226,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","Otherwise, the client MUST process all extensions in the"
227,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","A client which receives a cipher suite that was not offered MUST
abort the handshake.  Servers MUST ensure that they negotiate the"
228,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","negotiation, then this will happen automatically).  Upon receiving
the ServerHello, clients MUST check that the cipher suite supplied in"
229,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","""supported_versions"" extension MUST be retained in the ServerHello,
and a client MUST abort the handshake with an ""illegal_parameter"""
230,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any",Implementations MUST NOT send extension responses if the remote
231,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","receiving such an extension, an endpoint MUST abort the handshake"
232,modality,90.0%,"with the ServerHello, a HelloRetryRequest MUST NOT contain any","HRR (HelloRetryRequest).  If an implementation receives an extension
which it recognizes and which is not specified for the message in
which it appears, it MUST abort the handshake with an"
233,modality,90.0%,"Upon receipt of a HelloRetryRequest, the client MUST check the",Implementations MUST NOT send extension responses if the remote
234,modality,90.0%,"Upon receipt of a HelloRetryRequest, the client MUST check the",extensions block).  There MUST NOT be more than one extension of the
235,modality,90.0%,"process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an",Implementations MUST NOT send extension responses if the remote
236,modality,90.0%,"process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an",extensions block).  There MUST NOT be more than one extension of the
237,modality,90.0%,"was itself in response to a HelloRetryRequest), it MUST abort the
handshake with an ""unexpected_message"" alert.",Implementations MUST NOT send extension responses if the remote
238,modality,90.0%,"was itself in response to a HelloRetryRequest), it MUST abort the
handshake with an ""unexpected_message"" alert.",extensions block).  There MUST NOT be more than one extension of the
239,modality,90.0%,"Otherwise, the client MUST process all extensions in the",Implementations MUST NOT send extension responses if the remote
240,modality,90.0%,"Otherwise, the client MUST process all extensions in the",extensions block).  There MUST NOT be more than one extension of the
241,modality,90.0%,"A client which receives a cipher suite that was not offered MUST
abort the handshake.  Servers MUST ensure that they negotiate the",Implementations MUST NOT send extension responses if the remote
242,modality,90.0%,"A client which receives a cipher suite that was not offered MUST
abort the handshake.  Servers MUST ensure that they negotiate the",extensions block).  There MUST NOT be more than one extension of the
243,modality,90.0%,"negotiation, then this will happen automatically).  Upon receiving
the ServerHello, clients MUST check that the cipher suite supplied in",Implementations MUST NOT send extension responses if the remote
244,modality,90.0%,"negotiation, then this will happen automatically).  Upon receiving
the ServerHello, clients MUST check that the cipher suite supplied in",extensions block).  There MUST NOT be more than one extension of the
245,modality,90.0%,"""supported_versions"" extension MUST be retained in the ServerHello,
and a client MUST abort the handshake with an ""illegal_parameter""",Implementations MUST NOT send extension responses if the remote
246,modality,90.0%,"""supported_versions"" extension MUST be retained in the ServerHello,
and a client MUST abort the handshake with an ""illegal_parameter""",extensions block).  There MUST NOT be more than one extension of the
247,modality,90.0%,"""supported_versions"" extension MUST be retained in the ServerHello,
and a client MUST abort the handshake with an ""illegal_parameter""","If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
248,modality,90.0%,Implementations MUST NOT send extension responses if the remote,"receiving such an extension, an endpoint MUST abort the handshake"
249,modality,90.0%,Implementations MUST NOT send extension responses if the remote,"HRR (HelloRetryRequest).  If an implementation receives an extension
which it recognizes and which is not specified for the message in
which it appears, it MUST abort the handshake with an"
250,modality,90.0%,Implementations MUST NOT send extension responses if the remote,extensions block).  There MUST NOT be more than one extension of the
251,modality,90.0%,Implementations MUST NOT send extension responses if the remote,Implementations of this specification MUST send this extension in the
252,modality,90.0%,Implementations MUST NOT send extension responses if the remote,"if previous versions of TLS are allowed to be negotiated, they MUST
be present as well)."
253,modality,90.0%,Implementations MUST NOT send extension responses if the remote,this specification and which also support TLS 1.2 MUST negotiate
254,modality,90.0%,Implementations MUST NOT send extension responses if the remote,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
255,modality,90.0%,Implementations MUST NOT send extension responses if the remote,"versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include"
256,modality,90.0%,"receiving such an extension, an endpoint MUST abort the handshake",extensions block).  There MUST NOT be more than one extension of the
257,modality,90.0%,"receiving such an extension, an endpoint MUST abort the handshake","If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
258,modality,90.0%,"HRR (HelloRetryRequest).  If an implementation receives an extension
which it recognizes and which is not specified for the message in
which it appears, it MUST abort the handshake with an",extensions block).  There MUST NOT be more than one extension of the
259,modality,90.0%,"HRR (HelloRetryRequest).  If an implementation receives an extension
which it recognizes and which is not specified for the message in
which it appears, it MUST abort the handshake with an","If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
260,modality,90.0%,"HRR (HelloRetryRequest).  If an implementation receives an extension
which it recognizes and which is not specified for the message in
which it appears, it MUST abort the handshake with an","ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
261,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,Implementations of this specification MUST send this extension in the
262,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,"if previous versions of TLS are allowed to be negotiated, they MUST
be present as well)."
263,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,this specification and which also support TLS 1.2 MUST negotiate
264,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
265,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,"versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include"
266,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,A server which negotiates a version of TLS prior to TLS 1.3 MUST set
267,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
268,modality,90.0%,extensions block).  There MUST NOT be more than one extension of the,value (0x0304).  It MUST set the ServerHello.legacy_version field to
269,modality,90.0%,Implementations of this specification MUST send this extension in the,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
270,modality,90.0%,Implementations of this specification MUST send this extension in the,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
271,modality,90.0%,"if previous versions of TLS are allowed to be negotiated, they MUST
be present as well).","If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
272,modality,90.0%,"if previous versions of TLS are allowed to be negotiated, they MUST
be present as well).","ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
273,modality,90.0%,this specification and which also support TLS 1.2 MUST negotiate,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present"
274,modality,90.0%,this specification and which also support TLS 1.2 MUST negotiate,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
275,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include"
276,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present",A server which negotiates a version of TLS prior to TLS 1.3 MUST set
277,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
278,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present",value (0x0304).  It MUST set the ServerHello.legacy_version field to
279,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","0x0303 (TLS 1.2).  Clients MUST check for this extension prior to
processing the rest of the ServerHello (although they will have to"
280,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
281,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","TLS 1.3, the client MUST abort the handshake with an"
282,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","ClientHello).  When sending the new ClientHello, the client MUST copy"
283,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
284,modality,90.0%,"If this extension is present in the ClientHello, servers MUST NOT use
the ClientHello.legacy_version value for version negotiation and MUST
use only the ""supported_versions"" extension to determine client
preferences.  Servers MUST only select a version of TLS present in
that extension and MUST ignore any unknown versions that are present","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
285,modality,90.0%,"versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include","ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
286,modality,90.0%,"versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include","a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
287,modality,90.0%,A server which negotiates a version of TLS prior to TLS 1.3 MUST set,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending"
288,modality,90.0%,A server which negotiates a version of TLS prior to TLS 1.3 MUST set,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
289,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending",value (0x0304).  It MUST set the ServerHello.legacy_version field to
290,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending","0x0303 (TLS 1.2).  Clients MUST check for this extension prior to
processing the rest of the ServerHello (although they will have to"
291,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending","parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
292,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending","TLS 1.3, the client MUST abort the handshake with an"
293,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending","ClientHello).  When sending the new ClientHello, the client MUST copy"
294,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending","a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
295,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
296,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending",CertificateVerify messages.  The keys found in certificates MUST also
297,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending",server to authenticate itself via a certificate MUST send the
298,modality,90.0%,"ServerHello.version and MUST NOT send the ""supported_versions""
extension.  A server which negotiates TLS 1.3 MUST respond by sending","extension, then the server MUST abort the handshake with a"
299,modality,90.0%,value (0x0304).  It MUST set the ServerHello.legacy_version field to,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
300,modality,90.0%,"0x0303 (TLS 1.2).  Clients MUST check for this extension prior to
processing the rest of the ServerHello (although they will have to","a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
301,modality,90.0%,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the","a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
302,modality,90.0%,"TLS 1.3, the client MUST abort the handshake with an","a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
303,modality,90.0%,"ClientHello).  When sending the new ClientHello, the client MUST copy","a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use"
304,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
305,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use",CertificateVerify messages.  The keys found in certificates MUST also
306,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use",server to authenticate itself via a certificate MUST send the
307,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use","extension, then the server MUST abort the handshake with a"
308,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use",The length of the Salt MUST be equal to the length of the output
309,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use","certificate, it MUST use the rsaEncryption OID [RFC5280]."
310,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use",The length of the Salt MUST be equal to the length of the digest
311,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use","it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
312,modality,90.0%,"a ""cookie"" extension in the new ClientHello.  Clients MUST NOT use","present, then the parameters in the signature MUST be identical to"
313,modality,90.0%,CertificateVerify messages.  The keys found in certificates MUST also,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
314,modality,90.0%,server to authenticate itself via a certificate MUST send the,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
315,modality,90.0%,"extension, then the server MUST abort the handshake with a",TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
316,modality,90.0%,"extension, then the server MUST abort the handshake with a",TLS 1.3.  They MUST NOT be offered or negotiated by any
317,modality,90.0%,The length of the Salt MUST be equal to the length of the output,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
318,modality,90.0%,The length of the Salt MUST be equal to the length of the output,TLS 1.3.  They MUST NOT be offered or negotiated by any
319,modality,90.0%,"certificate, it MUST use the rsaEncryption OID [RFC5280].",TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
320,modality,90.0%,"certificate, it MUST use the rsaEncryption OID [RFC5280].",TLS 1.3.  They MUST NOT be offered or negotiated by any
321,modality,90.0%,The length of the Salt MUST be equal to the length of the digest,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
322,modality,90.0%,The length of the Salt MUST be equal to the length of the digest,TLS 1.3.  They MUST NOT be offered or negotiated by any
323,modality,90.0%,"it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER",TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
324,modality,90.0%,"it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER",TLS 1.3.  They MUST NOT be offered or negotiated by any
325,modality,90.0%,"present, then the parameters in the signature MUST be identical to",TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
326,modality,90.0%,"present, then the parameters in the signature MUST be identical to",TLS 1.3.  They MUST NOT be offered or negotiated by any
327,modality,90.0%,offering these values MUST list them as the lowest priority,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless
328,modality,90.0%,offering these values MUST list them as the lowest priority,TLS 1.3.  They MUST NOT be offered or negotiated by any
329,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,implementations willing to negotiate TLS 1.2 MUST behave in
330,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,TLS 1.3.  They MUST NOT be offered or negotiated by any
331,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,"curve.  If TLS 1.2 is negotiated, implementations MUST be prepared
to accept a signature that uses any curve that they advertised in"
332,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,mandatory in TLS 1.3) MUST be prepared to accept a signature using
333,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,"match.  This extension, if provided by the server, MUST only be sent"
334,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,"filters list, the client certificate included in the response MUST
contain all of the specified extension OIDs that the client"
335,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,of the specified values MUST be present in the client certificate
336,modality,90.0%,TLS 1.3 servers MUST NOT offer a SHA-1 signed certificate unless,client MUST ignore and skip any unrecognized certificate extension
337,modality,90.0%,implementations willing to negotiate TLS 1.2 MUST behave in,TLS 1.3.  They MUST NOT be offered or negotiated by any
338,modality,90.0%,implementations willing to negotiate TLS 1.2 MUST behave in,"with an ""unsupported_certificate"" alert.  Any given OID MUST NOT
appear more than once in the filters list."
339,modality,90.0%,TLS 1.3.  They MUST NOT be offered or negotiated by any,"curve.  If TLS 1.2 is negotiated, implementations MUST be prepared
to accept a signature that uses any curve that they advertised in"
340,modality,90.0%,TLS 1.3.  They MUST NOT be offered or negotiated by any,mandatory in TLS 1.3) MUST be prepared to accept a signature using
341,modality,90.0%,TLS 1.3.  They MUST NOT be offered or negotiated by any,"match.  This extension, if provided by the server, MUST only be sent"
342,modality,90.0%,TLS 1.3.  They MUST NOT be offered or negotiated by any,"filters list, the client certificate included in the response MUST
contain all of the specified extension OIDs that the client"
343,modality,90.0%,TLS 1.3.  They MUST NOT be offered or negotiated by any,of the specified values MUST be present in the client certificate
344,modality,90.0%,TLS 1.3.  They MUST NOT be offered or negotiated by any,client MUST ignore and skip any unrecognized certificate extension
